species,patch_id,pu_id,patch_area_km2
Allocebus trichotis,1,1,29.7379084643255
Allocebus trichotis,2,2,2.87885793996918
Allocebus trichotis,3,2,17.5407431045395
Brachyuromys ramirohitra,1,1,29.8748831680237
Brachyuromys ramirohitra,2,2,31.1097970257629
Brachyuromys ramirohitra,3,2,29.6010280215082
Bradypterus seebohmi,1,1,29.6296191803089
Bradypterus seebohmi,2,1,30.9497681570664
Bradypterus seebohmi,3,1,9.0422939274702
Bradypterus seebohmi,4,1,0.620648212959528
Bradypterus seebohmi,5,1,0.265972006813884
Bradypterus seebohmi,6,1,0.709200345668078
Bradypterus seebohmi,7,1,0.177290677110195
Bradypterus seebohmi,8,1,0.177275942426443
Bradypterus seebohmi,9,1,0.177274304782152
Eliurus antsingy,3,2,21.2443070814934
Eliurus antsingy,4,2,0.0911691125102043
Eliurus antsingy,5,3,18.8080490493467
Eliurus antsingy,6,3,0.632951986920834
Eliurus antsingy,7,3,0.090418725769639
Eliurus antsingy,14,5,3.59435797385478
Eliurus antsingy,15,5,4.5823305848434
Eulemur flavifrons,1,1,25.074716512655
Hypogeomys antimena,1,1,16.5405274979709
Hypogeomys antimena,10,3,28.8514752628855
Hypogeomys antimena,12,3,7.14406051427328
Hypogeomys antimena,15,3,0.714404974961042
Hypogeomys antimena,17,3,0.535747839347363
Hypogeomys antimena,18,3,0.178579506715536
Hypogeomys antimena,19,3,1.87495118889821
Hypogeomys antimena,20,3,0.446428569326997
Hypogeomys antimena,21,3,0.446413028153896
Hypogeomys antimena,22,5,4.32811651286983
Hypogeomys antimena,23,5,20.1353674732143
Microcebus berthae,5,2,10.8090685387869
Microcebus ravelobensis,2,2,0.0914152072403431
Microcebus ravelobensis,3,2,5.85033975470483
Microcebus ravelobensis,4,2,24.6792146248934
Microcebus ravelobensis,5,2,0.0914115014762879
Microcebus ravelobensis,6,3,1.00543750432074
Microcebus ravelobensis,7,2,2.83342021115089
Microcebus ravelobensis,8,2,0.0914028473145962
Microcebus ravelobensis,9,2,0.182805694629192
Microcebus ravelobensis,10,2,1.00536820483089
Microcebus ravelobensis,11,2,1.55373825480247
Microcebus ravelobensis,12,3,2.37624750380158
Microcebus ravelobensis,13,2,0.274192454327822
Microcebus ravelobensis,14,2,0.0913954212397337
Microcebus ravelobensis,15,2,0.0913941828227043
Microcebus ravelobensis,16,3,0.182784649551392
Microcebus ravelobensis,17,3,0.0913904663074017
Microcebus ravelobensis,18,3,0.0913892270473242
Microcebus ravelobensis,19,3,0.182778454094648
Microcebus ravelobensis,20,3,7.67678403816259
Microcebus ravelobensis,21,3,8.49783825707972
Microcebus ravelobensis,23,3,0.274089461484194
Microcebus ravelobensis,24,3,0.0913643975844383
Microcebus ravelobensis,25,3,0.0913631538983583
Microcebus ravelobensis,27,3,9.5018882179122
Microcebus ravelobensis,28,3,4.56775692645252
Microcebus ravelobensis,29,3,0.456749789226413
Microcebus ravelobensis,30,3,0.0913494594436884
Microcebus ravelobensis,33,6,19.4460137230955
Microcebus ravelobensis,34,6,0.0912818623811007
Microcebus ravelobensis,35,6,0.0912818623811007
Microcebus ravelobensis,36,7,0.0912806047910452
Microcebus ravelobensis,37,8,0.18256120958209
Microcebus ravelobensis,38,8,2.64711363947368
Microcebus ravelobensis,39,8,2.28180747323203
Microcebus ravelobensis,44,7,34.9561422077831
Microcebus ravelobensis,45,9,24.7276188530559
Microcebus ravelobensis,46,10,47.9051317506742
Microcebus ravelobensis,47,11,8.48632753355729
Microcebus ravelobensis,58,9,0.091242779188633
Microcebus ravelobensis,59,10,0.0912402507441044
Microcebus ravelobensis,60,10,0.364942030489326
Microcebus ravelobensis,61,10,0.456175956650376
Monticola erythronotus,1,1,56.8711675529908
Monticola erythronotus,2,1,0.55664420881176
Monticola erythronotus,3,1,0.371099061261296
Monticola erythronotus,4,1,0.556625695955575
Monticola erythronotus,5,1,9.36908318528539
Monticola erythronotus,6,1,0.185535398295164
Monticola erythronotus,7,1,0.4638067721048
Monticola erythronotus,8,1,0.27827526928854
Monticola erythronotus,9,1,28.8450665179987
Monticolomys koopmani,2,2,20.7455502793179
Monticolomys koopmani,3,2,0.0879156733250618
Monticolomys koopmani,6,5,27.2715936270403
Monticolomys koopmani,7,6,29.4123165165295
Neodrepanis hypoxantha,1,1,29.874883168016
Neodrepanis hypoxantha,2,2,31.2831288292138
Neodrepanis hypoxantha,3,3,27.2715936270417
Phaner parienti,1,1,24.4501852478606
Xanthomixis apperti,1,1,68.4073900828693
Xenopirostris damii,1,1,22.2000500960147
Xenopirostris damii,2,1,27.8509599131693
Xenopirostris damii,3,1,25.2881548057299
Xenopirostris damii,4,1,18.1631788481475
Phaner furcifer,1,1,26.7219759851338
Phaner furcifer,16,7,9.25542923517829
Phaner furcifer,17,7,1.48074673073435
Phaner furcifer,18,7,1.38815019469875
Phaner furcifer,20,7,1.48068535666788
Phaner furcifer,21,7,0.185083622752428
Phaner furcifer,22,7,0.27762389876622
Phaner furcifer,31,13,29.671471531806
Phaner furcifer,57,16,0.643524707941413
Phaner furcifer,58,16,0.459616383672178
Phaner furcifer,59,16,9.4676801526829
Phaner furcifer,60,16,0.183841973942041
Phaner furcifer,61,16,0.643432019172549
Phaner furcifer,62,16,0.275752651619673
Phaner furcifer,63,16,0.367655302864552
Phaner furcifer,64,16,1.56243208603394
Phaner furcifer,65,16,0.275729722221673
Phaner furcifer,66,16,0.275717098941267
Phaner furcifer,67,16,0.275709061498702
Phaner furcifer,68,16,0.459508593737841
Phaner furcifer,69,16,0.643297785346627
Phaner furcifer,70,16,0.459497104689479
Phaner furcifer,71,16,1.19467109273422
Phaner furcifer,72,16,0.183794934333205
Phaner furcifer,73,16,50.5514532191378
Phaner furcifer,74,16,3.21620605602259
Phaner furcifer,75,16,0.551364106284201
Phaner furcifer,76,17,1.1026637771045
Phaner furcifer,77,17,0.183781132994473
Phaner furcifer,78,17,1.10266607838708
Phaner furcifer,79,16,0.367564567481518
Phaner furcifer,80,16,0.183777680330396
Phaner furcifer,81,16,0.55131922525847
Phaner furcifer,82,16,0.183773075227737
Phaner furcifer,83,17,9.73881683760118
Phaner furcifer,84,16,1.10259928914058
Phaner furcifer,85,17,2.02137478975713
Phaner furcifer,86,17,0.826945434479117
Phaner furcifer,87,16,0.643170052254975
Phaner furcifer,88,16,0.183763859939218
Phaner furcifer,89,16,0.183761555058837
Phaner furcifer,90,16,1.65382056523472
Phaner furcifer,91,16,1.01060090259159
Phaner furcifer,92,16,0.275615805294812
Phaner furcifer,93,17,0.826825480995059
Phaner furcifer,94,17,0.459349671094775
Phaner furcifer,95,17,0.367459639963925
Phaner furcifer,96,17,0.183724619396329
Phaner furcifer,97,17,0.275586929094493
Phaner furcifer,98,17,1.46972063059211
Phaner furcifer,99,17,0.275577679304421
Phaner furcifer,100,17,0.18370726844734
Phaner furcifer,101,18,18.1847541860152
Phaner furcifer,102,17,30.0296278397158
Phaner furcifer,103,17,0.367363554798245
Phaner furcifer,104,18,0.27551396533531
Phaner furcifer,105,18,0.551010520467103
Phaner furcifer,106,18,0.183662044749379
Phaner furcifer,107,19,18.0890314559548
Phaner furcifer,108,18,0.826444340551019
Phaner furcifer,109,18,0.64274972992146
Phaner furcifer,110,18,0.18363762679255
Phaner furcifer,111,18,0.275451201936305
Phaner furcifer,112,18,1.74446138717437
Phaner furcifer,113,18,0.275448873565376
Phaner furcifer,114,18,0.550894253834188
Phaner furcifer,115,17,0.275443051051259
Phaner furcifer,116,18,0.642690357202709
Phaner furcifer,117,18,0.183620156923413
Phaner furcifer,118,18,0.183617825801849
Phaner furcifer,161,28,25.2943045511917
Phaner furcifer,180,32,6.04677383137786
Phaner furcifer,182,32,0.812110214788914
Phaner furcifer,183,33,29.3041924637758
Phaner furcifer,223,41,0.267489754928231
Phaner furcifer,224,41,0.356649865982652
Phaner furcifer,225,41,0.445816258351207
Phaner furcifer,226,41,4.54703839103794
Phaner furcifer,227,41,0.891615243398428
Phaner furcifer,228,41,0.35662630723393
Phaner furcifer,229,41,0.178309225780487
Phaner furcifer,230,41,1.24810643068099
Phaner furcifer,231,41,2.94197569609952
Phaner furcifer,232,41,0.356605879427791
Phaner furcifer,233,41,0.267431613409638
Phaner furcifer,234,41,0.445715685831666
Phaner furcifer,235,41,0.267425322177529
Phaner furcifer,236,41,0.356561852784872
Phaner furcifer,237,41,4.01056275524306
Phaner furcifer,238,41,0.445573969463825
Phaner furcifer,239,41,0.445562933258295
Phaner furcifer,240,41,0.178222650364399
Phaner furcifer,241,41,0.178217919028401
Phaner furcifer,242,41,0.44554243148911
Phaner furcifer,243,41,1.69292428516269
Phaner furcifer,246,41,0.178184774059057
Phaner furcifer,248,41,3.02890574311626
Phaner furcifer,249,41,0.178170555057168
Phaner furcifer,284,48,22.6808795697265
Phaner furcifer,285,48,0.703173426176786
Phaner furcifer,325,57,44.4928427752311
Microcebus tavaratra,21,4,0.0927211263144016
Microcebus tavaratra,22,4,0.463597745713949
Microcebus tavaratra,23,4,43.3892599286878
Microcebus tavaratra,24,4,0.092707307780385
Microcebus tavaratra,26,6,0.0926675960290432
Microcebus tavaratra,27,6,0.0926606114119291
Microcebus tavaratra,28,6,0.092647612277329
Microcebus tavaratra,29,6,43.452874946519
Microcebus tavaratra,30,6,0.0926436052985191
Microcebus tavaratra,55,11,0.370271373195112
Microcebus tavaratra,57,11,0.46283412528491
Microcebus tavaratra,60,11,0.092566825099647
Microcebus tavaratra,62,11,43.0377824654036
Microcebus tavaratra,63,11,0.185130594589651
Microcebus tavaratra,69,11,1.48074673073447
Microcebus tavaratra,71,11,1.66577102635723
Microcebus tavaratra,72,11,0.277623898765862
Microcebus tavaratra,73,11,0.277610584835649
Microcebus tavaratra,74,11,0.0925361785190105
Microcebus tavaratra,89,15,0.0918911418704391
Microcebus tavaratra,90,15,0.0918911418704391
Microcebus tavaratra,91,15,0.183782283740878
Microcebus tavaratra,92,15,0.0918911418704391
Microcebus tavaratra,93,15,0.275667671454728
Microcebus tavaratra,94,15,1.92954817861229
Microcebus tavaratra,95,15,0.367500048400045
Microcebus tavaratra,96,15,0.0918715503869653
Microcebus tavaratra,97,15,0.0918703960418105
Microcebus tavaratra,98,15,0.275591552190542
Microcebus tavaratra,99,15,0.0918623096979857
Microcebus tavaratra,100,15,0.0918623096979857
Microcebus tavaratra,102,15,0.367434207116187
Microcebus tavaratra,103,15,0.183716525221169
Microcebus tavaratra,104,15,33.8991079803581
Microcebus tavaratra,130,22,0.824719871121228
