stage,patch_lookup_path,last_removal_step,alive_end,removed_end,area_retained_km2,area_removed_km2,cells_removed_stage,area_removed_stage_km2,events_in_stage,prop_cells_removed_end,prop_area_removed_end,pct_cells_removed_end,pct_area_removed_end,keep_n,actual_cells_retained,actual_area_retained_km2,target_cells_retained,target_area_retained_km2,area_match_error_km2,abs_area_match_error_km2,rank_cutoff
0,"",0,2132414,0,191349.295604099,0,0,0,0,0,0,0,0,2132414,2132414,191349.295604099,2132414,191349.295604099,2.91038304567337e-11,2.91038304567337e-11,0
1,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0001.csv,102,2031153,101261,182271.941321541,9077.35428255848,101261,9077.35428255848,102,0.0474865574883676,0.0474386605600027,4.74865574883676,4.74386605600027,2031153,2031153,182281.281216734,2031153,182271.941321541,9.33989519331953,9.33989519331953,0.0474865585565567
2,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0002.csv,203,1930898,201516,173238.571911788,18110.723692311,100255,9033.36940975255,101,0.0945013491751602,0.0946474542021939,9.45013491751602,9.46474542021939,1930898,1930898,173310.595322303,1930898,173238.571911788,72.023410515365,72.023410515365,0.0945013463497162
3,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0003.csv,305,1830871,301543,164170.45937233,27178.8362317693,100027,9068.11253945825,102,0.141409219785651,0.142037816998303,14.1409219785651,14.2037816998303,1830871,1830871,164333.617660358,1830871,164170.45937233,163.158288027626,163.158288027626,0.14140921831131
4,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0004.csv,407,1730767,401647,155189.021724678,36160.2738794212,100104,8981.43764765194,102,0.188353199706999,0.188975212922846,18.8353199706999,18.8975212922846,1730767,1730767,155373.312064343,1730767,155189.021724678,184.290339664876,184.290339664876,0.188353195786476
5,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0005.csv,509,1630659,501755,146167.338282102,45181.9573219974,100108,9021.68344257622,102,0.235299055436702,0.236122935176509,23.5299055436702,23.6122935176509,1630659,1630659,146443.191505127,1630659,146167.338282102,275.853223025479,275.853223025479,0.235299050807953
6,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0006.csv,610,1530602,601812,137253.911908567,54095.383695532,100057,8913.4263735346,101,0.282220994609865,0.282704901132509,28.2220994609865,28.2704901132509,1530602,1530602,137476.711324004,1530602,137253.911908567,222.799415437185,222.799415437185,0.282220989465714
7,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0007.csv,711,1430572,701842,128395.383075663,62953.9125284357,100030,8858.52883290368,101,0.329130272076623,0.328999970079258,32.9130272076623,32.8999970079258,1430572,1430572,128537.244739886,1430572,128395.383075663,141.861664222524,141.861664222524,0.329130262136459
8,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0008.csv,812,1330561,801853,119577.436897414,71771.858706685,100011,8817.9461782493,101,0.37603063945369,0.37508295225283,37.603063945369,37.508295225283,1330561,1330561,119594.057400333,1330561,119577.436897414,16.6205029191915,16.6205029191915,0.376030653715134
9,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0009.csv,914,1230523,901891,110760.878665423,80588.4169386759,100038,8816.55823199092,102,0.42294366853716,0.421158680957013,42.294366853716,42.1158680957013,1230523,1230523,110635.46032705,1230523,110760.878665423,-125.418338372561,125.418338372561,0.4229436814785
10,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0010.csv,1015,1130505,1001909,101798.701281092,89550.5943230076,100018,8962.17738433163,101,0.46984731857885,0.467995421881706,46.984731857885,46.7995421881706,1130505,1130505,101652.127706484,1130505,101798.701281092,-146.573574607741,146.573574607741,0.469847321510315
11,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0011.csv,1117,1030442,1101972,92901.6083111003,98447.6872929988,100063,8897.09296999122,102,0.516772071464547,0.514492028738306,51.6772071464547,51.4492028738306,1030442,1030442,92656.7064425818,1030442,92901.6083111003,-244.901868518515,244.901868518515,0.516772091388702
12,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0012.csv,1218,930380,1202034,83843.6762429373,107505.619361162,100062,9057.93206816306,101,0.563696355398155,0.561829187934878,56.3696355398155,56.1829187934878,930380,930380,83676.9417948407,930380,83843.6762429373,-166.734448096657,166.734448096657,0.563696384429932
